Index,Agency Name,Programme Name,Primary Service User,Primary Service Type,Number of service users,Programme expenditure (range)
1,Haven Centre,Support Programme 95,Children & Youth,Mental health,9,"$20,000 to $50,000"
2,Wellness Society,Support Programme 12,Adults,Personal development,39,"$50,000 to $100,000"
3,Support Limited,Assistance Scheme 1,Adults,Work & career,130,"$100,000 to $200,000"
4,Youth Group,Therapy Programme 78,Children & Youth,Academic support,35643,">$500,000"
5,Harmony Limited,Development Programme 91,Adults,Families & parenting,15,"$10,000 to $20,000"
6,New Community Services,Therapy Programme 21,Children & Youth,Academic support,410,">$500,000"
7,Bright Organization,Health Programme 49,Children & Youth,Families & parenting,336,"$100,000 to $200,000"
8,Golden Collective,Assistance Scheme 9,Adults,Work & career,418,"$100,000 to $200,000"
9,Haven Community Services,Wellness Programme 34,Adults,Financial & material assistance,36,"$50,000 to $100,000"
10,Compassion Group,Care Services 18,Seniors,Caregiving support,7686,"$200,000 to $500,000"
11,Family Collective,Mentoring Programme 77,Children & Youth,At-risk youth engagement,1253,"$200,000 to $500,000"
12,Youth Alliance,Skills Programme 21,Children & Youth,Personal development,47,"$20,000 to $50,000"
13,Youth Mission,Intervention Programme 82,Seniors,Caregiving support,441,">$500,000"
14,Golden Welfare Society,Support Programme 15,Children & Youth,Personal development,20654,">$500,000"
15,Helping Services,Rehabilitation Programme 99,Adults,Families & parenting,31,"$10,000 to $20,000"
16,Sunshine Trust,Intervention Programme 52,Seniors,Health & medical,315,"$100,000 to $200,000"
17,Golden Foundation,Rehabilitation Programme 30,Seniors,Health & medical,5,"$20,000 to $50,000"
18,Golden Services,Social Programme 31,Children & Youth,At-risk youth engagement,118,">$500,000"
19,Helping Hub,Development Programme 13,Adults,Financial & material assistance,261,"$50,000 to $100,000"
20,Compassion Initiative,Education Programme 32,Adults,Financial & material assistance,29,"$20,000 to $50,000"
21,Bright Services,Health Programme 71,Adults,Mental health,35,"$20,000 to $50,000"
22,Helping Welfare Society,Development Programme 52,Adults,Mental health,1,"$20,000 to $50,000"
23,Sunshine Outreach,Financial Aid Programme 20,Adults,Work & career,4,"$10,000 to $20,000"
24,Community Limited,Financial Aid Programme 65,Seniors,Social isolation,33,"$50,000 to $100,000"
25,Compassion Centre,Care Services 75,Seniors,Financial & material assistance,6,"<$10,000"
26,Hope Outreach,Community Programme 31,Children & Youth,At-risk youth engagement,204,">$500,000"
27,Bridge Limited,Education Programme 10,Seniors,After-School Care,17,"$20,000 to $50,000"
28,United Organization,Health Programme 70,Seniors,Financial & material assistance,43359,">$500,000"
29,Senior Network,Education Programme 14,Seniors,Health & medical,360,"$100,000 to $200,000"
30,Helping Network,Training Initiative 12,Seniors,Health & medical,52,"$20,000 to $50,000"
